group,feature,data_type,selection,name,description,aggregatable
,blastrecipient_member_id,string,,Member ID,,TRUE
,output_email,boolean,,Respond to email,Is this member likely to respond to the email campaign?,
,output_sms,boolean,,Respond to sms,Is this member likely to respond to the SMS campaign?,
,is_blast_on_weekday,boolean,,Blast on weekday?,Is this predicted blast on a weekday?,
,is_blast_on_weekend,boolean,,Blast on weekends?,Is this predicted blast on a weekend?,
,blast_on_day_of_week,integer,,Day of week,Day of week of the predicted blast,
,blast_on_month_of_year,integer,,Month of year,Month of year of the predicted blast,
,blast_on_day_of_month,integer,,Day of month,Day of month of the predicted blast,
,member_gender,categorical,single,Member Gender,,
,card_tier,categorical,multiple,Membership Tier,,
,member_notify,group,multiple,Member Communications,Members notification methods,
member_notify,member_sender_issubscribed,boolean,,Is member subscribed to email communications,,
member_notify,member_notifysms,boolean,,Is member subscribed to SMS communications,,
member_notify,member_pns_devices_pushalert,boolean,,Is member subscribed to PNS communications,,
,member_marital_status,categorical,single,Marital Status,,
,recency,integer,,Recency(days),The number of days since last purchase,
,recency_group,categorical,single,Recency group,,
,age,integer,,Member age(years),"Member age in years. If age = 0, means membership age is unknown.",
,age_group,categorical,single,Member age group,,
,tenure_days,integer,,Membership tenure(days),No of days since member joined,
,tenure_years,integer,,Membership tenure(years),No of years since member joined,
,tenure_years_group,categorical,single,Membership tenure group,,
,no_of_vouchers_issued,integer,,Number of vouchers issued to member,,
,no_of_vouchers_utilized,integer,,Number of vouchers utilized by member,,
,perc_of_vouchers_utilized,float,,Percentage of voucher utilized by members,,
,voucher_value_issued_last,group,,Vouchers value issued,,
voucher_value_issued_last,voucher_value_issued_last_7_days,money,,Vouchers value issued past 7 days,,
voucher_value_issued_last,voucher_value_issued_last_30_days,money,,Vouchers value issued past 30 days,,
voucher_value_issued_last,voucher_value_issued_last_90_days,money,,Vouchers value issued past 90 days,,
voucher_value_issued_last,voucher_value_issued_last_180_days,money,,Vouchers value issued past 180 days,,
voucher_value_issued_last,voucher_value_issued_last_270_days,money,,Vouchers value issued past 270 days,,
voucher_value_issued_last,voucher_value_issued_last_360_days,money,,Vouchers value issued past 360 days,,
,voucher_value_utilized_last,group,,Voucher value utilized,,
voucher_value_utilized_last,voucher_value_utilized_last_7_days,money,,Vouchers value utilized past 7 days,,
voucher_value_utilized_last,voucher_value_utilized_last_30_days,money,,Vouchers value utilized past 30 days,,
voucher_value_utilized_last,voucher_value_utilized_last_90_days,money,,Vouchers value utilized past 90 days,,
voucher_value_utilized_last,voucher_value_utilized_last_180_days,money,,Vouchers value utilized past 180 days,,
voucher_value_utilized_last,voucher_value_utilized_last_270_days,money,,Vouchers value utilized past 270 days,,
voucher_value_utilized_last,voucher_value_utilized_last_360_days,money,,Vouchers value utilized past 360 days,,
,no_of_transact_past,group,,Number of transactions,,
no_of_transact_past,no_of_transact_past_7_days,integer,,Number of transactions past 7 days,,
no_of_transact_past,no_of_transact_past_30_days,integer,,Number of transactions past 30 days,,
no_of_transact_past,no_of_transact_past_90_days,integer,,Number of transactions past 90 days,,
no_of_transact_past,no_of_transact_past_180_days,integer,,Number of transactions past 180 days,,
no_of_transact_past,no_of_transact_past_270_days,integer,,Number of transactions past 270 days,,
no_of_transact_past,no_of_transact_past_360_days,integer,,Number of transactions past 360 days,,
,transact_nettspent_past,group,,Nett Spent,,
transact_nettspent_past,transact_nettspent_past_7_days,money,,Nett Spent past 7 days,,
transact_nettspent_past,transact_nettspent_past_30_days,money,,Nett Spent past 30 days,,
transact_nettspent_past,transact_nettspent_past_90_days,money,,Nett Spent past 90 days,,
transact_nettspent_past,transact_nettspent_past_180_days,money,,Nett Spent past 180 days,,
transact_nettspent_past,transact_nettspent_past_270_days,money,,Nett Spent past 270 days,,
transact_nettspent_past,transact_nettspent_past_360_days,money,,Nett Spent past 360 days,,
,transact_transactpoints_past,group,,Transaction points,,
transact_transactpoints_past,transact_transactpoints_past_7_days,integer,,Transaction points past 7 days,,
transact_transactpoints_past,transact_transactpoints_past_30_days,integer,,Transaction points past 30 days,,
transact_transactpoints_past,transact_transactpoints_past_90_days,integer,,Transaction points past 90 days,,
transact_transactpoints_past,transact_transactpoints_past_180_days,integer,,Transaction points past 180 days,,
transact_transactpoints_past,transact_transactpoints_past_270_days,integer,,Transaction points past 270 days,,
transact_transactpoints_past,transact_transactpoints_past_360_days,integer,,Transaction points past 360 days,,
,no_of_vouchers_issued_by_campaign,integer,,Number of vouchers issued by campaign,,
