"domain","src_values","std_values","std_order","enrich_gender","min_value","max_value","exception","addedby","addedon","modifiedby","modifiedon"
gender,F,female,"1","",,,n,,,,
gender,Female,female,"1","",,,n,,,,
gender,M,male,"2","",,,n,,,,
gender,Male,male,"2","",,,n,,,,
gender,"0",others,"99","",,,y,,,,
gender,&,others,"99","",,,y,,,,
gender,(,others,"99","",,,y,,,,
gender,C,others,"99","",,,y,,,,
gender,D,others,"99","",,,y,,,,
gender,G,others,"99","",,,y,,,,
gender,N,others,"99","",,,y,,,,
gender,None,others,"99","",,,y,,,,
gender,O,others,"99","",,,y,,,,
gender,Others,others,"99","",,,y,,,,
gender,P,others,"99","",,,y,,,,
gender,s,others,"99","",,,y,,,,
gender,X,others,"99","",,,y,,,,
gender,exception,others,"99","",,,y,,,,
salutation,"111 mdm11","","1",female,,,n,,,,
salutation,"111 ms111","","1",female,,,n,,,,
salutation,Bà,"","1",female,,,n,,,,
salutation,CIK,"","1",female,,,n,,,,
salutation,CIK TENGKU,"","1",female,,,n,,,,
salutation,Cô,"","1",female,,,n,,,,
salutation,DATIN,"","1",female,,,n,,,,
salutation,Datin dr,"","1",female,,,n,,,,
salutation,Datin seri,"","1",female,,,n,,,,
salutation,DATIN SR,"","1",female,,,n,,,,
salutation,Datin Sri,"","1",female,,,n,,,,
salutation,DR & MRS,"","1",female,,,n,,,,
salutation,"""M","iss""","","1",,,"",n,,,
salutation,M/S,"","1",female,,,n,,,,
salutation,MADAM,"","1",female,,,n,,,,
salutation,Madame,"","1",female,,,n,,,,
salutation,Mdm,"","1",female,,,n,,,,
salutation,Mdm.,"","1",female,,,n,,,,
salutation,MDN,"","1",female,,,n,,,,
salutation,MISS,"","1",female,,,n,,,,
salutation,Miss.,"","1",female,,,n,,,,
salutation,Missus,"","1",female,,,n,,,,
salutation,Mrs,"","1",female,,,n,,,,
salutation,M'rs,"","1",female,,,n,,,,
salutation,Mrs lau,"","1",female,,,n,,,,
salutation,Mrs.,"","1",female,,,n,,,,
salutation,Ms,"","1",female,,,n,,,,
salutation,Ms.,"","1",female,,,n,,,,
salutation,Ms/Miss,"","1",female,,,n,,,,
salutation,Ms1,"","1",female,,,n,,,,
salutation,PUAN,"","1",female,,,n,,,,
salutation,Puan sri,"","1",female,,,n,,,,
salutation,Puan Sri D,"","1",female,,,n,,,,
salutation,PUN SRI,"","1",female,,,n,,,,
salutation,RAJA,"","2",male,,,n,,,,
salutation,YB DATIN,"","1",female,,,n,,,,
salutation,"111 mr111","","2",male,,,n,,,,
salutation,Dato,"","2",male,,,n,,,,
salutation,DATO DR,"","2",male,,,n,,,,
salutation,DATO SER,"","2",male,,,n,,,,
salutation,Dato Seri,"","2",male,,,n,,,,
salutation,Dato Sri,"","2",male,,,n,,,,
salutation,Dato sri d,"","2",male,,,n,,,,
salutation,Dato`,"","2",male,,,n,,,,
salutation,Dato’,"","2",male,,,n,,,,
salutation,DatoSri,"","2",male,,,n,,,,
salutation,Datuk,"","2",male,,,n,,,,
salutation,DATUK DR,"","2",male,,,n,,,,
salutation,DATUK IR,"","2",male,,,n,,,,
salutation,Datuk Seri,"","2",male,,,n,,,,
salutation,Datuk wira,"","2",male,,,n,,,,
salutation,EN,"","2",male,,,n,,,,
salutation,ENCIK,"","2",male,,,n,,,,
salutation,M,"","2",male,,,n,,,,
salutation,MR,"","2",male,,,n,,,,
salutation,Mr.,"","2",male,,,n,,,,
salutation,Mr1,"","2",male,,,n,,,,
salutation,Ông,"","2",male,,,n,,,,
salutation,Tan Sri,"","2",male,,,n,,,,
salutation,Tengku,"","2",male,,,n,,,,
salutation,TENKU PU,"","2",male,,,n,,,,
salutation,Y BHG DATO,"","2",male,,,n,,,,
salutation,Yang mulia,"","2",male,,,n,,,,
salutation,YB DATO,"","2",male,,,n,,,,
salutation,YB DATUK,"","2",male,,,n,,,,
salutation,YM TENGKU,"","2",male,,,n,,,,
salutation,-1,"","99",others,,,y,,,,
salutation,"123","","99",others,,,y,,,,
salutation,"84285282","","99",others,,,y,,,,
salutation,"87863846","","99",others,,,y,,,,
salutation,"88616668","","99",others,,,y,,,,
salutation,"91098739","","99",others,,,y,,,,
salutation,"91115275","","99",others,,,y,,,,
salutation,"91762900","","99",others,,,y,,,,
salutation,"91882395","","99",others,,,y,,,,
salutation,"92353747","","99",others,,,y,,,,
salutation,"94526032","","99",others,,,y,,,,
salutation,"96329126","","99",others,,,y,,,,
salutation,"96635019","","99",others,,,y,,,,
salutation,"96748974","","99",others,,,y,,,,
salutation,"96985972","","99",others,,,y,,,,
salutation,"97512270","","99",others,,,y,,,,
salutation,"97604005","","99",others,,,y,,,,
salutation,"97660892","","99",others,,,y,,,,
salutation,"97883455","","99",others,,,y,,,,
salutation,"98552912","","99",others,,,y,,,,
salutation,#07-16,"","99",others,,,y,,,,
salutation,(null),"","99",others,,,y,,,,
salutation,???,"","99",others,,,y,,,,
salutation,"1R","","99",others,,,y,,,,
salutation,Anything,"","99",others,,,y,,,,
salutation,AR,"","99",others,,,y,,,,
salutation,ASSOC PROF,"","99",others,,,y,,,,
salutation,Brg,"","99",others,,,y,,,,
salutation,Capt,"","99",others,,,y,,,,
salutation,Captain,"","99",others,,,y,,,,
salutation,Col,"","99",others,,,y,,,,
salutation,Doctor,"","99",others,,,y,,,,
salutation,DOKTOR,"","99",others,,,y,,,,
salutation,Dr,"","99",others,,,y,,,,
salutation,Dr.,"","99",others,,,y,,,,
salutation,Eleen Lim,"","99",others,,,y,,,,
salutation,Haolun Li,"","99",others,,,y,,,,
salutation,Hjh,"","99",others,,,y,,,,
salutation,Idr,"","99",others,,,y,,,,
salutation,Ir,"","99",others,,,y,,,,
salutation,IR DR,"","99",others,,,y,,,,
salutation,Kevin Ng,"","99",others,,,y,,,,
salutation,Kum,"","99",others,,,y,,,,
salutation,Lft,"","99",others,,,y,,,,
salutation,Major,"","99",others,,,y,,,,
salutation,Mr Or Ms,"","99",others,,,y,,,,
salutation,Na,"","99",others,,,y,,,,
salutation,None,"","99",others,,,y,,,,
salutation,null,"","99",others,,,y,,,,
salutation,Others,"","99",others,,,y,,,,
salutation,PRO,"","99",others,,,y,,,,
salutation,Prof,"","99",others,,,y,,,,
salutation,Prof dr,"","99",others,,,y,,,,
salutation,PROF MADYA,"","99",others,,,y,,,,
salutation,Professor,"","99",others,,,y,,,,
salutation,Professor/,"","99",others,,,y,,,,
salutation,PS,"","99",others,,,y,,,,
salutation,Rev,"","99",others,,,y,,,,
salutation,shujun lim,"","99",others,,,y,,,,
